Song,Year,Month,Day,Lyrics,Writer,Album
Love_Me_Do,1962,October,5,Yes,Lennon/McCartney,Please_Please_Me
Ps_I_Love_You,1962,October,5,Yes,Lennon/McCartney,Please_Please_Me
Ask_Me_Why,1963,January,11,Yes,Lennon/McCartney,Please_Please_Me
Please_Please_Me,1963,January,11,No,Lennon,Please_Please_Me
Taste_Honey,1963,March,22,No,Not found,Please_Please_Me
Anna_Go_Him,1963,March,22,No,Not found,Please_Please_Me
Boys,1963,March,22,Yes,"Dixon, Farrell",Please_Please_Me
Chains,1963,March,22,Yes,"Goffin, King",Please_Please_Me
Do_You_Want_Know_Secret,1963,March,22,Yes,Lennon,Please_Please_Me
I_Saw_Her_Standing_There,1963,March,22,Yes,Lennon/McCartney,Please_Please_Me
Misery,1963,March,22,Yes,Lennon/McCartney,Please_Please_Me
Theres_Place,1963,March,22,Yes,Lennon/McCartney,Please_Please_Me
Twist_And_Shout,1963,March,22,No,Not found,Please_Please_Me
Me_You,1963,April,11,Yes,Lennon/McCartney,Single
Thank_You_Girl,1963,April,11,Yes,Lennon/McCartney,UK: Rarities US: The Beatles Second Album
Ill_Get_You,1963,August,23,Yes,Lennon/McCartney,Single
She_Loves_You,1963,August,23,Yes,Lennon/McCartney,UK: A Collection of Beatles Oldies US: The Beatles Second Album
Hello_Little_Girl,1963,August,30,Yes,Lennon,Anthology 1
All_Ive_Got_Do,1963,November,22,Yes,Lennon,With_the_Beatles
All_My_Loving,1963,November,22,Yes,Lennon/McCartney,With_the_Beatles
Devil_Her_Heart,1963,November,22,Yes,Not found,With_the_Beatles
Dont_Bother_Me,1963,November,22,Yes,Harrison,With_the_Beatles
Hold_Me_Tight,1963,November,22,Yes,Lennon/McCartney,With_the_Beatles
I_Wanna_Be_Your_Man,1963,November,22,Yes,Lennon/McCartney,With_the_Beatles
It_Wont_Be_Long,1963,November,22,Yes,Lennon/McCartney,With_the_Beatles
Little_Child,1963,November,22,Yes,Lennon/McCartney,With_the_Beatles
Money_Thats_What_I_Want,1963,November,22,No,Not found,With_the_Beatles
Not_Second_Time,1963,November,22,Yes,Lennon,With_the_Beatles
Please_Mister_Postman,1963,November,22,No,Not found,With_the_Beatles
Roll_Over_Beethoven,1963,November,22,No,Berry,With_the_Beatles
Till_There_Was_You,1963,November,22,No,Willson,With_the_Beatles
You_Wont_See_Me,1963,November,22,Yes,McCartney,Single
I_Want_Hold_Your_Hand,1963,November,29,Yes,Lennon/McCartney,Single
Boy,1963,November,29,Yes,Not found,Please_Please_Me
Cry_Shadow,1964,March,27,No,Lennon/Harrison,Anthology 1
Any_Time_All,1964,June,10,Yes,Lennon/McCartney,A_Hard_Days_Night
Ill_Be_Back,1964,June,10,Yes,Lennon,A_Hard_Days_Night
When_I_Get_Home,1964,June,10,Yes,Lennon/McCartney,A_Hard_Days_Night
I_Call_Your_Name,1964,June,19,Yes,Lennon,UK: Past Masters Volume 1 US: The Beatles Second Album
Hard_Days_Night,1964,July,10,No,Lennon,A_Hard_Days_Night
And_I_Love_Her,1964,July,10,Yes,Lennon/McCartney,A_Hard_Days_Night
Cant_Buy_Me_Love,1964,July,10,Yes,McCartney,A_Hard_Days_Night
I_Should_Have_Known_Better,1964,July,10,Yes,Lennon/McCartney,Hey_Jude
Ill_Cry_Instead,1964,July,10,Yes,Lennon,A_Hard_Days_Night
If_I_Fell,1964,July,10,Yes,Lennon/McCartney,A_Hard_Days_Night
