Song,Year,Month,Day,Lyrics,Writer,Album,Genre
Love_Me_Do,1962,October,5,Yes,Lennon/McCartney,0.0,0.0
Ps_I_Love_You,1962,October,5,Yes,Not found,0.0,0.0
Ask_Me_Why,1963,January,11,Yes,Lennon/McCartney,0.0,0.0
Please_Please_Me,1963,January,11,No,Not found,0.0,0.0
Taste_Honey,1963,March,22,No,Not found,0.0,0.0
Anna_Go_Him,1963,March,22,No,Not found,0.0,0.0
Boys,1963,March,22,Yes,Not found,0.0,0.0
Chains,1963,March,22,Yes,Not found,0.0,0.0
Do_You_Want_Know_Secret,1963,March,22,Yes,Not found,0.0,0.0
I_Saw_Her_Standing_There,1963,March,22,Yes,Lennon/McCartney,0.0,0.0
Misery,1963,March,22,Yes,Lennon/McCartney,0.0,0.0
Theres_Place,1963,March,22,Yes,Not found,0.0,0.0
Twist_And_Shout,1963,March,22,No,Not found,0.0,0.0
Me_You,1963,April,11,Yes,Not found,0.0,0.0
Thank_You_Girl,1963,April,11,Yes,Lennon/McCartney,0.0,0.0
Ill_Get_You,1963,August,23,Yes,Not found,0.0,0.0
She_Loves_You,1963,August,23,Yes,Lennon/McCartney,0.0,0.0
Hello_Little_Girl,1963,August,30,Yes,Not found,0.0,0.0
All_Ive_Got_Do,1963,November,22,Yes,Not found,0.0,0.0
All_My_Loving,1963,November,22,Yes,Lennon/McCartney,0.0,0.0
Devil_Her_Heart,1963,November,22,Yes,Not found,0.0,0.0
Dont_Bother_Me,1963,November,22,Yes,Not found,0.0,0.0
Hold_Me_Tight,1963,November,22,Yes,Lennon/McCartney,0.0,0.0
I_Wanna_Be_Your_Man,1963,November,22,Yes,Lennon/McCartney,0.0,0.0
It_Wont_Be_Long,1963,November,22,Yes,Not found,0.0,0.0
Little_Child,1963,November,22,Yes,Lennon/McCartney,0.0,0.0
Money_Thats_What_I_Want,1963,November,22,No,Not found,0.0,0.0
Not_Second_Time,1963,November,22,Yes,Not found,0.0,0.0
Please_Mister_Postman,1963,November,22,No,Not found,0.0,0.0
Roll_Over_Beethoven,1963,November,22,No,Not found,0.0,0.0
Till_There_Was_You,1963,November,22,No,Not found,0.0,0.0
You_Wont_See_Me,1963,November,22,Yes,Not found,0.0,0.0
I_Want_Hold_Your_Hand,1963,November,29,Yes,Not found,0.0,0.0
Boy,1963,November,29,Yes,Not found,0.0,0.0
Cry_Shadow,1964,March,27,No,Not found,0.0,0.0
Any_Time_All,1964,June,10,Yes,Not found,0.0,0.0
Ill_Be_Back,1964,June,10,Yes,Not found,0.0,0.0
When_I_Get_Home,1964,June,10,Yes,Lennon/McCartney,0.0,0.0
I_Call_Your_Name,1964,June,19,Yes,Not found,0.0,0.0
Hard_Days_Night,1964,July,10,No,Not found,0.0,0.0
And_I_Love_Her,1964,July,10,Yes,Lennon/McCartney,0.0,0.0
Cant_Buy_Me_Love,1964,July,10,Yes,Not found,0.0,0.0
I_Should_Have_Known_Better,1964,July,10,Yes,Lennon/McCartney,0.0,0.0
Ill_Cry_Instead,1964,July,10,Yes,Not found,0.0,0.0
If_I_Fell,1964,July,10,Yes,Lennon/McCartney,0.0,0.0
Tell_Me_Why,1964,July,10,Yes,Lennon/McCartney,0.0,0.0
Things_We_Said_Today,1964,July,10,Yes,Lennon/McCartney,0.0,0.0
You_Know_My_Name,1964,July,10,Yes,Not found,0.0,0.0
Im_Happy_Just_Dance_You,1964,August,20,Yes,Not found,0.0,0.0
I_Feel_Fine,1964,November,23,Yes,Not found,0.0,0.0
Shes_Woman,1964,November,23,Yes,Not found,0.0,0.0
Babys_Black,1964,December,4,Yes,Not found,0.0,0.0
Eight_Days_Week,1964,December,4,Yes,Not found,0.0,0.0
Every_Little_Thing,1964,December,4,Yes,Lennon/McCartney,0.0,0.0
Everybodys_Trying_Be_My_Baby,1964,December,4,Yes,Not found,0.0,0.0
Honey_Dont,1964,December,4,Yes,Not found,0.0,0.0
I_Dont_Want_Spoil_Party,1964,December,4,Yes,Not found,0.0,0.0
Ill_Follow_Sun,1964,December,4,Yes,Not found,0.0,0.0
Im_Loser,1964,December,4,Yes,Not found,0.0,0.0
Kansas_City_Hey_Hey_Hey_Hey,1964,December,4,No,Not found,0.0,0.0
Mr_Moonlight,1964,December,4,No,Not found,0.0,0.0
No_Reply,1964,December,4,Yes,Lennon/McCartney,0.0,0.0
Rock_And_Roll_Music,1964,December,4,No,Not found,0.0,0.0
What_Youre_Doing,1964,December,4,Yes,Not found,0.0,0.0
Yellow_Submarine,1964,December,4,No,Not found,0.0,0.0
Ticket_Ride,1965,April,9,Yes,Not found,0.0,0.0
Yesterday,1965,April,9,Yes,Lennon/McCartney,0.0,0.0
Bad_Boy,1965,June,14,No,Lennon/McCartney,0.0,0.0
Help,1965,July,19,No,Not found,0.0,0.0
Im_Down,1965,July,19,Yes,Not found,0.0,0.0
Act_Naturally,1965,August,6,No,Not found,0.0,0.0
Another_Girl,1965,August,6,Yes,Lennon/McCartney,0.0,0.0
Dizzy_Miss_Lizzy,1965,August,6,No,Not found,0.0,0.0
I_Need_You,1965,August,6,Yes,George Harrison,0.0,0.0
Ive_Just_Seen_Face,1965,August,6,Yes,Not found,0.0,0.0
Its_Only_Love,1965,August,6,Yes,Not found,0.0,0.0
Tell_Me_What_You_See,1965,August,6,Yes,Lennon/McCartney,0.0,0.0
Night,1965,August,6,Yes,Not found,0.0,0.0
You_Cant_Do,1965,August,6,Yes,Not found,0.0,0.0
Youve_Got_Hide_Your_Love_Away,1965,August,6,Yes,Not found,0.0,0.0
