Song,Year,Month,Day,Lyrics,Writer
Love_Me_Do,1962,October,5,Yes,Lennon/McCartney
Ps_I_Love_You,1962,October,5,Yes,Not found
Ask_Me_Why,1963,January,11,Yes,Lennon/McCartney
Please_Please_Me,1963,January,11,No,Not found
Taste_Honey,1963,March,22,No,Not found
Anna_Go_Him,1963,March,22,No,Not found
Boys,1963,March,22,Yes,Not found
Chains,1963,March,22,Yes,Not found
Do_You_Want_Know_Secret,1963,March,22,Yes,Not found
I_Saw_Her_Standing_There,1963,March,22,Yes,Lennon/McCartney
Misery,1963,March,22,Yes,Lennon/McCartney
Theres_Place,1963,March,22,Yes,Not found
Twist_And_Shout,1963,March,22,No,Not found
Me_You,1963,April,11,Yes,Not found
Thank_You_Girl,1963,April,11,Yes,Lennon/McCartney
Ill_Get_You,1963,August,23,Yes,Not found
She_Loves_You,1963,August,23,Yes,Lennon/McCartney
Hello_Little_Girl,1963,August,30,Yes,Not found
All_Ive_Got_Do,1963,November,22,Yes,Not found
All_My_Loving,1963,November,22,Yes,Lennon/McCartney
Devil_Her_Heart,1963,November,22,Yes,Not found
Dont_Bother_Me,1963,November,22,Yes,Not found
Hold_Me_Tight,1963,November,22,Yes,Lennon/McCartney
I_Wanna_Be_Your_Man,1963,November,22,Yes,Lennon/McCartney
It_Wont_Be_Long,1963,November,22,Yes,Not found
Little_Child,1963,November,22,Yes,Lennon/McCartney
Money_Thats_What_I_Want,1963,November,22,No,Not found
Not_Second_Time,1963,November,22,Yes,Not found
Please_Mister_Postman,1963,November,22,No,Not found
Roll_Over_Beethoven,1963,November,22,No,Not found
Till_There_Was_You,1963,November,22,No,Not found
You_Wont_See_Me,1963,November,22,Yes,Not found
I_Want_Hold_Your_Hand,1963,November,29,Yes,Not found
Boy,1963,November,29,Yes,Not found
Cry_Shadow,1964,March,27,No,Not found
Any_Time_All,1964,June,10,Yes,Not found
Ill_Be_Back,1964,June,10,Yes,Not found
When_I_Get_Home,1964,June,10,Yes,Lennon/McCartney
I_Call_Your_Name,1964,June,19,Yes,Not found
Hard_Days_Night,1964,July,10,No,Not found
And_I_Love_Her,1964,July,10,Yes,Lennon/McCartney
Cant_Buy_Me_Love,1964,July,10,Yes,Not found
I_Should_Have_Known_Better,1964,July,10,Yes,Lennon/McCartney
Ill_Cry_Instead,1964,July,10,Yes,Not found
If_I_Fell,1964,July,10,Yes,Lennon/McCartney
Tell_Me_Why,1964,July,10,Yes,Lennon/McCartney
Things_We_Said_Today,1964,July,10,Yes,Lennon/McCartney
You_Know_My_Name,1964,July,10,Yes,Not found
Im_Happy_Just_Dance_You,1964,August,20,Yes,Not found
I_Feel_Fine,1964,November,23,Yes,Not found
Shes_Woman,1964,November,23,Yes,Not found
Babys_Black,1964,December,4,Yes,Not found
Eight_Days_Week,1964,December,4,Yes,Not found
Every_Little_Thing,1964,December,4,Yes,Lennon/McCartney
Everybodys_Trying_Be_My_Baby,1964,December,4,Yes,Not found
Honey_Dont,1964,December,4,Yes,Not found
I_Dont_Want_Spoil_Party,1964,December,4,Yes,Not found
Ill_Follow_Sun,1964,December,4,Yes,Not found
Im_Loser,1964,December,4,Yes,Not found
Kansas_City_Hey_Hey_Hey_Hey,1964,December,4,No,Not found
Mr_Moonlight,1964,December,4,No,Not found
No_Reply,1964,December,4,Yes,Lennon/McCartney
Rock_And_Roll_Music,1964,December,4,No,Not found
What_Youre_Doing,1964,December,4,Yes,Not found
Yellow_Submarine,1964,December,4,No,Not found
Ticket_Ride,1965,April,9,Yes,Not found
Yesterday,1965,April,9,Yes,Lennon/McCartney
Bad_Boy,1965,June,14,No,Lennon/McCartney
Help,1965,July,19,No,Not found
Im_Down,1965,July,19,Yes,Not found
Act_Naturally,1965,August,6,No,Not found
Another_Girl,1965,August,6,Yes,Lennon/McCartney
Dizzy_Miss_Lizzy,1965,August,6,No,Not found
I_Need_You,1965,August,6,Yes,George Harrison
Ive_Just_Seen_Face,1965,August,6,Yes,Not found
Its_Only_Love,1965,August,6,Yes,Not found
Tell_Me_What_You_See,1965,August,6,Yes,Lennon/McCartney
Night,1965,August,6,Yes,Not found
You_Cant_Do,1965,August,6,Yes,Not found
Youve_Got_Hide_Your_Love_Away,1965,August,6,Yes,Not found
Young_Blood,1965,August,6,No,Not found
Day_Tripper,1965,December,3,Yes,Not found
Girl,1965,December,3,Yes,Lennon/McCartney
Im_Looking_Through_You,1965,December,3,Yes,Not found
If_I_Needed_Someone,1965,December,3,Yes,George Harrison
My_Life,1965,December,3,Yes,Not found
Michelle,1965,December,3,Yes,Lennon/McCartney
Norwegian_Wood_Bird_Has_Flown,1965,December,3,Yes,Not found
Nowhere_Man,1965,December,3,Yes,Lennon/McCartney
Run_Your_Life,1965,December,3,Yes,Not found
Word,1965,December,3,Yes,Not found
Think_Yourself,1965,December,3,Yes,Not found
Wait,1965,December,3,Yes,Lennon/McCartney
We_Can_Work_It_Out,1965,December,3,Yes,Not found
What_Goes,1965,December,3,Yes,Not found
Youll_Be_Mine,1965,December,3,Yes,Not found
Paperback_Writer,1966,May,30,Yes,Lennon/McCartney
Rain,1966,May,30,Yes,Lennon/McCartney
And_Your_Bird_Can_Sing,1966,August,5,Yes,Lennon/McCartney
Doctor_Robert,1966,August,5,Yes,Lennon/McCartney
Eleanor_Rigby,1966,August,5,Yes,Lennon/McCartney
No_One,1966,August,5,Yes,Not found
Good_Day_Sunshine,1966,August,5,Yes,Lennon/McCartney
Got_Get_You_My_Life,1966,August,5,Yes,Not found
Here_There_And_Everywhere,1966,August,5,Yes,Not found
I_Want_Tell_You,1966,August,5,Yes,Not found
Im_Only_Sleeping,1966,August,5,Yes,Not found
Love_You,1966,August,5,Yes,Not found
She_Said_She_Said,1966,August,5,Yes,Lennon/McCartney
Taxman,1966,August,5,Yes,George Harrison
Tomorrow_Never_Knows,1966,August,5,Yes,Lennon/McCartney
Yellow_Submarine_Pepperland,1966,August,5,No,Not found
Penny_Lane,1967,February,13,No,Lennon/McCartney
Strawberry_Fields_Forever,1967,February,13,Yes,Lennon/McCartney
Day_Life,1967,June,1,No,Not found
Being_Benefit_Mr_Kite,1967,June,1,Yes,Not found
Fixing_Hole,1967,June,1,Yes,Not found
Getting_Better,1967,June,1,Yes,Lennon/McCartney
Good_Morning_Good_Morning,1967,June,1,Yes,Lennon/McCartney
Lovely_Rita,1967,June,1,Yes,Lennon/McCartney
Lucy_Sky_Diamonds,1967,June,1,Yes,Not found
Sgt_Peppers_Lonely_Hearts_Club_Band,1967,June,1,Yes,Not found
Sgt_Peppers_Lonely_Hearts_Club_Band_Reprise,1967,June,1,Yes,Not found
Shes_Leaving_Home,1967,June,1,Yes,Not found
When_Im_Sixty_Four,1967,June,1,Yes,Not found
Little_Help_My_Friends,1967,June,1,Yes,Not found
Within_You_Without_You,1967,June,1,Yes,George Harrison
All_You_Need_Love,1967,July,7,No,Not found
Baby_Youre_Rich_Man,1967,July,7,Yes,Not found
Hello_Goodbye,1967,November,24,Yes,Not found
I_Am_Walrus,1967,November,24,Yes,Not found
Blue_Jay_Way,1967,November,27,Yes,George Harrison
Flying,1967,November,27,Yes,George Harrison
Magical_Mystery_Tour,1967,November,27,No,Not found
Fool_Hill,1967,November,27,Yes,Not found
Your_Mother_Should_Know,1967,November,27,Yes,Lennon/McCartney
Lady_Madonna,1968,March,15,Yes,Not found
Inner_Light,1968,March,15,Yes,Not found
Hey_Jude,1968,August,26,Yes,Not found
Revolution,1968,August,26,Yes,Lennon/McCartney
Back_Ussr,1968,November,22,Yes,Not found
Birthday,1968,November,22,Yes,Lennon/McCartney
Blackbird,1968,November,22,Yes,Lennon/McCartney
Cry_Baby_Cry,1968,November,22,Yes,Lennon/McCartney
Dear_Prudence,1968,November,22,Yes,Lennon/McCartney
Dont_Pass_Me,1968,November,22,Yes,Not found
Drive_My_Car,1968,November,22,Yes,Lennon/McCartney
