Song,Year,Month,Day,Lyrics
love-me-do,1962,October,5,Yes
ps-i-love-you,1962,October,5,Yes
ask-me-why,1963,January,11,Yes
please-please-me,1963,January,11,No
taste-honey,1963,March,22,No
anna-go-him,1963,March,22,No
boys,1963,March,22,Yes
chains,1963,March,22,Yes
do-you-want-know-secret,1963,March,22,Yes
i-saw-her-standing-there,1963,March,22,Yes
misery,1963,March,22,Yes
theres-place,1963,March,22,Yes
twist-and-shout,1963,March,22,No
me-you,1963,April,11,Yes
thank-you-girl,1963,April,11,Yes
ill-get-you,1963,August,23,Yes
she-loves-you,1963,August,23,Yes
hello-little-girl,1963,August,30,Yes
all-ive-got-do,1963,November,22,Yes
all-my-loving,1963,November,22,Yes
devil-her-heart,1963,November,22,Yes
dont-bother-me,1963,November,22,Yes
hold-me-tight,1963,November,22,Yes
i-wanna-be-your-man,1963,November,22,Yes
it-wont-be-long,1963,November,22,Yes
little-child,1963,November,22,Yes
money-thats-what-i-want,1963,November,22,No
not-second-time,1963,November,22,Yes
please-mister-postman,1963,November,22,No
roll-over-beethoven,1963,November,22,No
till-there-was-you,1963,November,22,No
you-wont-see-me,1963,November,22,Yes
i-want-hold-your-hand,1963,November,29,Yes
boy,1963,November,29,Yes
cry-shadow,1964,March,27,No
any-time-all,1964,June,10,Yes
ill-be-back,1964,June,10,Yes
when-i-get-home,1964,June,10,Yes
i-call-your-name,1964,June,19,Yes
hard-days-night,1964,July,10,No
and-i-love-her,1964,July,10,Yes
cant-buy-me-love,1964,July,10,Yes
i-should-have-known-better,1964,July,10,Yes
ill-cry-instead,1964,July,10,Yes
if-i-fell,1964,July,10,Yes
tell-me-why,1964,July,10,Yes
things-we-said-today,1964,July,10,Yes
you-know-my-name,1964,July,10,Yes
im-happy-just-dance-you,1964,August,20,Yes
i-feel-fine,1964,November,23,Yes
shes-woman,1964,November,23,Yes
babys-black,1964,December,4,Yes
eight-days-week,1964,December,4,Yes
every-little-thing,1964,December,4,Yes
everybodys-trying-be-my-baby,1964,December,4,Yes
honey-dont,1964,December,4,Yes
i-dont-want-spoil-party,1964,December,4,Yes
ill-follow-sun,1964,December,4,Yes
im-loser,1964,December,4,Yes
kansas-city-hey-hey-hey-hey,1964,December,4,No
mr-moonlight,1964,December,4,No
no-reply,1964,December,4,Yes
rock-and-roll-music,1964,December,4,No
what-youre-doing,1964,December,4,Yes
yellow-submarine,1964,December,4,No
ticket-ride,1965,April,9,Yes
yesterday,1965,April,9,Yes
bad-boy,1965,June,14,No
help,1965,July,19,No
im-down,1965,July,19,Yes
act-naturally,1965,August,6,No
another-girl,1965,August,6,Yes
dizzy-miss-lizzy,1965,August,6,No
i-need-you,1965,August,6,Yes
ive-just-seen-face,1965,August,6,Yes
its-only-love,1965,August,6,Yes
tell-me-what-you-see,1965,August,6,Yes
night,1965,August,6,Yes
you-cant-do,1965,August,6,Yes
youve-got-hide-your-love-away,1965,August,6,Yes
young-blood,1965,August,6,No
day-tripper,1965,December,3,Yes
girl,1965,December,3,Yes
im-looking-through-you,1965,December,3,Yes
if-i-needed-someone,1965,December,3,Yes
my-life,1965,December,3,Yes
michelle,1965,December,3,Yes
norwegian-wood-bird-has-flown,1965,December,3,Yes
nowhere-man,1965,December,3,Yes
run-your-life,1965,December,3,Yes
word,1965,December,3,Yes
think-yourself,1965,December,3,Yes
wait,1965,December,3,Yes
we-can-work-it-out,1965,December,3,Yes
what-goes,1965,December,3,Yes
youll-be-mine,1965,December,3,Yes
paperback-writer,1966,May,30,Yes
rain,1966,May,30,Yes
and-your-bird-can-sing,1966,August,5,Yes
doctor-robert,1966,August,5,Yes
eleanor-rigby,1966,August,5,Yes
no-one,1966,August,5,Yes
good-day-sunshine,1966,August,5,Yes
got-get-you-my-life,1966,August,5,Yes
here-there-and-everywhere,1966,August,5,Yes
i-want-tell-you,1966,August,5,Yes
im-only-sleeping,1966,August,5,Yes
love-you,1966,August,5,Yes
she-said-she-said,1966,August,5,Yes
taxman,1966,August,5,Yes
tomorrow-never-knows,1966,August,5,Yes
yellow-submarine-pepperland,1966,August,5,No
penny-lane,1967,February,13,No
strawberry-fields-forever,1967,February,13,Yes
day-life,1967,June,1,No
being-benefit-mr-kite,1967,June,1,Yes
fixing-hole,1967,June,1,Yes
getting-better,1967,June,1,Yes
good-morning-good-morning,1967,June,1,Yes
lovely-rita,1967,June,1,Yes
lucy-sky-diamonds,1967,June,1,Yes
sgt-peppers-lonely-hearts-club-band,1967,June,1,Yes
sgt-peppers-lonely-hearts-club-band-reprise,1967,June,1,Yes
shes-leaving-home,1967,June,1,Yes
when-im-sixty-four,1967,June,1,Yes
little-help-my-friends,1967,June,1,Yes
within-you-without-you,1967,June,1,Yes
all-you-need-love,1967,July,7,No
baby-youre-rich-man,1967,July,7,Yes
hello-goodbye,1967,November,24,Yes
i-am-walrus,1967,November,24,Yes
blue-jay-way,1967,November,27,Yes
flying,1967,November,27,Yes
magical-mystery-tour,1967,November,27,No
fool-hill,1967,November,27,Yes
your-mother-should-know,1967,November,27,Yes
lady-madonna,1968,March,15,Yes
inner-light,1968,March,15,Yes
hey-jude,1968,August,26,Yes
revolution,1968,August,26,Yes
back-ussr,1968,November,22,Yes
birthday,1968,November,22,Yes
blackbird,1968,November,22,Yes
cry-baby-cry,1968,November,22,Yes
dear-prudence,1968,November,22,Yes
dont-pass-me,1968,November,22,Yes
drive-my-car,1968,November,22,Yes
everybodys-got-something-hide-except-me-and-my-monkey,1968,November,22,Yes
glass-onion,1968,November,22,Yes
good-night,1968,November,22,Yes
happiness-warm-gun,1968,November,22,Yes
helter-skelter,1968,November,22,Yes
honey-pie,1968,November,22,Yes
i-will,1968,November,22,Yes
im-so-tired,1968,November,22,Yes
julia,1968,November,22,Yes
long-long-long,1968,November,22,Yes
martha-my-dear,1968,November,22,Yes
mother-natures-son,1968,November,22,Yes
ob-la-di-ob-la-da,1968,November,22,Yes
piggies,1968,November,22,Yes
revolution-1,1968,November,22,No
revolution-9,1968,November,22,No
rocky-raccoon,1968,November,22,Yes
savoy-truffle,1968,November,22,Yes
sexy-sadie,1968,November,22,Yes
